   	#	(	)	*	+	,	-	/	0	;	=	A	C	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	U	V	W	Y	Z	b	c	f	q	r	s	t	u	v	w	x	y	{	}	
80	 0	 0	s113	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
81	 0	 0	s114	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
82	 0	 0	 0	 0	 0	 0	 0	 0	 0	r36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G115	 0	 0	 0	 0	 0	 0	 0	 0	 0	s55	 0	 0	
83	 0	 0	 0	 0	s57	 0	s58	 0	 0	r18	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G116	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r18	 0	 0	
84	 0	 0	 0	 0	s57	 0	s58	 0	 0	r19	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G117	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r19	 0	 0	
85	 0	 0	 0	s60	r24	 0	r24	s61	 0	r24	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G118	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r24	 0	 0	
86	 0	 0	 0	s60	r25	 0	r25	s61	 0	r25	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G119	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r25	 0	 0	
87	 0	 0	s120	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
88	 0	 0	 0	r45	r45	 0	r45	r45	 0	r45	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r45	 0	 0	
89	 0	 0	r46	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
90	 0	 0	r47	 0	 0	s122	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G121	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
91	 0	 0	r15	 0	 0	r15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G123	 0	 0	 0	 0	 0	 0	 0	 0	 0	s124	 0	 0	
92	 0	 0	r16	 0	s126	r16	s127	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G125	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r16	 0	 0	
93	 0	 0	r22	s129	r22	r22	r22	s130	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G128	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r22	 0	 0	
94	 0	 0	r28	r28	r28	r28	r28	r28	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r28	 0	 0	
95	 0	s132	r29	r29	r29	r29	r29	r29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G131	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r29	 0	 0	
