   	#	(	)	*	+	,	-	/	0	;	=	A	B	C	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	U	V	W	Y	Z	b	c	f	q	r	s	t	u	v	w	x	y	{	}	
59	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G85	G36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
60	 0	 0	 0	 0	r24	 0	r24	 0	 0	r24	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r24	 0	 0	
61	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G86	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
62	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G87	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
63	 0	 0	 0	r32	r32	 0	r32	r32	 0	r32	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r32	 0	 0	
64	 0	s98	s89	 0	 0	 0	 0	 0	s95	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G92	G93	G94	 0	 0	G90	G88	G91	 0	 0	 0	 0	 0	s97	s96	 0	 0	 0	 0	 0	 0	 0	 0	 0	
65	 0	 0	s99	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
66	 0	 0	r16	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G100	 0	 0	 0	 0	 0	 0	 0	 0	 0	s101	 0	 0	
67	 0	 0	r17	 0	s103	 0	s104	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G102	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r17	 0	 0	
68	 0	 0	r23	s106	r23	 0	r23	s107	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G105	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r23	 0	 0	
69	 0	 0	r29	r29	r29	 0	r29	r29	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r29	 0	 0	
70	 0	s109	r30	r30	r30	 0	r30	r30	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G108	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r30	 0	 0	
71	 0	 0	r31	r31	r31	 0	r31	r31	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r31	 0	 0	
72	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G110	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
73	r35	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
74	 0	 0	s111	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
75	 0	 0	s112	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
